"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Příslušnost","Minulá kandidatura"
805,1,"LUCIE LUKŠÍČKOVÁ",45,"dispečer výroby","Řečice","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
806,1,"JIŘÍ ČASAR",28,"mistr ve výrobě","Křepiny","Ne","BEZPP",""
810,1,"MILOSLAV MICHALÍČEK",42,"OSVČ","Řečice","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
801,1,"MIROSLAV ČASAR",56,"OSVČ","Křepiny","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
808,1,"Ing. ONDŘEJ KORDOVSKÝ",32,"jednatel","Záběhlice","Ne","BEZPP",""
809,1,"PAVEL KAVECKÝ",46,"truhlář","Křepiny","Ne","BEZPP",""
802,1,"VOJTĚCH VONDRA",24,"nezaměstnaný","Křepiny","Ne","BEZPP",""
807,1,"ROMANA ŽATEČKOVÁ",39,"logistik","Křepiny","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
804,1,"PAVEL VESELSKÝ",36,"vedoucí skladů","Křepiny","Ne","BEZPP",""
803,1,"STANISLAV ADAMEC",39,"starosta obce","Křepiny","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
