"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Příslušnost","Minulá kandidatura"
901,6,"Ing. ALEŠ TRLICA",38,"konstruktér","Morkůvky","Ne","BEZPP",""
901,8,"Ing. JANA VLASÁKOVÁ",29,"technik kontroly kvality","Morkůvky","Ne","BEZPP",""
901,9,"JOSEF KYNCL",63,"důchodce","Morkůvky","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
901,1,"BRIGITA PETRÁŠOVÁ",45,"starostka obce, asistentka","Morkůvky","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
901,7,"LENKA BEDNÁŘOVÁ",40,"švadlena","Morkůvky","Ne","BEZPP",""
901,5,"JOSEF FILÁSEK",45,"mistr kovoobráběcí dílny","Morkůvky","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
901,4,"ROBERT PETRÁŠ",44,"vedoucí reginálního dopravního centra","Morkůvky","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
901,3,"Mgr. JANA PETRÁŠOVÁ",53,"zástupce ředitele základní školy","Morkůvky","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
901,2,"Mgr. LUDĚK PÁLENÍK",49,"učitel základní školy","Morkůvky","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
