"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Minulá kandidatura","Změnil stranu"
801,1,"RENATA ČERMÁKOVÁ",52,"účetní","Plešnice","Ano","RENATA ČERMÁKOVÁ, NEZÁVISLÝ KANDIDÁT",""
803,1,"Ing. DANIEL LÁZINKA",40,"státní zaměstnanec","Plešnice","Ano","DANIEL LÁZINKA, NEZÁVISLÝ KANDIDÁT",""
804,1,"TOMÁŠ JOUJA",42,"vedoucí autoservisu","Plešnice","Ano","TOMÁŠ JOUJA, NEZÁVISLÝ KANDIDÁT",""
802,1,"JOSEF WOČADLO",50,"zemědělec","Plešnice","Ano","JOSEF WOČADLO, NEZÁVISLÝ KANDIDÁT",""
806,1,"LUBOŠ RACEK",32,"admin. pracovník","Plešnice","Ano","LUBOŠ RACEK, NEZÁVISLÝ KANDIDÁT",""
805,1,"MILAN RACEK",34,"skladník","Plešnice","Ne","",""
