"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Příslušnost","Minulá kandidatura"
53,5,"FRANTIŠEK GULYÁS",43,"hodinář","Červené Pečky","Ne","BEZPP",""
53,1,"ALENA PETRUSOVÁ",50,"OSVČ-dětský klub ""Pecka""","Červené Pečky","Ne","BEZPP",""
901,2,"Mgr. JAN DVOŘÁK",71,"důchodce","Červené Pečky","Ano","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
901,5,"Ing. JOSEF NOVOTNÝ",58,"vedoucí pracovník","Červené Pečky","Ne","BEZPP",""
901,8,"IVANA SLANAŘOVÁ",37,"živnostník","Červené Pečky","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
901,1,"JAN BRADNA",63,"důchodce","Červené Pečky","Ne","BEZPP",""
901,13,"PAVEL MATOUŠEK",51,"technik","Červené Pečky","Ne","BEZPP",""
901,3,"Ing. MILOSLAV KUBÍN",57,"geodet","Červené Pečky","Ano","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
901,4,"LUBOMÍR JIRKŮ",48,"výkonný ředitel","Červené Pečky","Ano","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
801,1,"HERMANN KRAML",73,"starobní důchodce","Červené Pečky","Ne","BEZPP",""
53,6,"MICHAL KECL",31,"vedoucí pracovník","Opatovice","Ne","BEZPP",""
53,9,"MICHAL TEPLÝ",31,"OSVČ","Červené Pečky","Ne","BEZPP",""
53,12,"TOMÁŠ DVOŘÁK",39,"elektro údržba","Červené Pečky","Ne","BEZPP",""
53,3,"RADEK KULHÁNEK",42,"podnikatel","Červené Pečky","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
901,9,"KAREL BRAUNSTEIN",61,"důchodce","Opatovice","Ne","BEZPP",""
53,8,"VÍT PROCHÁZKA",38,"soukromý zemědělec","Dolany","Ne","BEZPP",""
901,7,"KATEŘINA BRADNOVÁ",36,"mateřská dovolená","Červené Pečky","Ne","BEZPP",""
53,13,"PAVEL POSPÍŠIL",41,"vedoucí kontrukce","Červené Pečky","Ano","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,11,"PAVEL ŠANC",41,"finanční plánovač","Červené Pečky","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
53,10,"Mgr. LUKÁŠ ISTENČIN",37,"učitel","Červené Pečky","Ne","BEZPP",""
53,2,"ŠTĚPÁNKA BARTÁKOVÁ",41,"řidička autobusu","Červené Pečky","Ne","BEZPP",""
53,4,"ROMAN LANG",49,"technik","Bojiště","Ano","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
901,6,"Mgr. ŠTĚPÁNKA HANZLOVÁ",45,"ředitelka","Bořetice","Ano","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
901,11,"ROMAN ŽÍDEK",42,"dispečer","Červené Pečky","Ne","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
901,10,"STANISLAV SADIL",31,"technik","Bojiště","Ne","BEZPP",""
53,7,"MILAN BARTÁK",45,"řidič autobusu","Červené Pečky","Ne","BEZPP",""
901,12,"Mgr. PAVEL LUPTÁK",52,"pracovník bezpečnostní agentury","Bořetice","Ne","BEZPP",""
