"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Minulá kandidatura","Změnil stranu"
901,8,"JIŘÍ MÁLEK",30,"řidič","Chotěměřice","Ne",""" PRO OBEC KRÁSNĚJŠÍ """,""
902,9,"ZDENĚK RAJDL",34,"disponent dopravy","Hněvkovice","Ne",""" PRO OBEC KRÁSNĚJŠÍ """,""
902,2,"JOSEF RAJDL",57,"technik","Hněvkovice","Ano","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - HNĚVKOVICE",""
902,5,"Ing. PAVEL PEŠEK",50,"OSVČ","Hněvkovice","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - HNĚVKOVICE",""
902,6,"OLDŘICH ZUBEC",65,"OSVČ","Zahájí","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - HNĚVKOVICE",""
902,1,"VÁCLAV ŠŤASTNÝ",63,"starosta obce","Nová Ves u Dolních Kralovic","Ano","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - HNĚVKOVICE",""
902,3,"JIŘÍ FIALKA",59,"řidič dálniční údržby","Hněvkovice","Ano","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - HNĚVKOVICE",""
902,4,"PETR TESÁREK",48,"technik logistiky","Zahájí","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - HNĚVKOVICE",""
902,8,"MICHAL VAVRLA",36,"svářeč","Hněvkovice","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - HNĚVKOVICE",""
901,5,"JOSEF KOKERT",49,"řidič","Hněvkovice","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - PRAVÁ VOLBA",""
901,1,"JIŘÍ TĚŠÍNSKÝ",59,"učitel","Hněvkovice","Ano","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - PRAVÁ VOLBA",""
901,7,"JIŘÍ OLIŠAR",43,"zámečník","Hněvkovice","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - PRAVÁ VOLBA",""
901,2,"PAVEL SECHOVEC",45,"zámečník","Hněvkovice","Ano","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - PRAVÁ VOLBA",""
901,4,"JIŘÍ ŠŤASTNÝ",49,"podnikatel","Hněvkovice","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - PRAVÁ VOLBA",""
901,9,"JAN MYSLIVEČEK",22,"dělník","Chotěměřice","Ne","",""
902,7,"LIBUŠE VELETOVÁ",43,"vedoucí výrobní linky","Hněvkovice","Ne","",""
901,3,"JOSEF VÁŠA",75,"důchodce","Hněvkovice","Ne","",""
901,6,"ROMAN MALÝ",38,"voják z povolání","Nová Ves u Dolních Kralovic","Ne","",""
