"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Minulá kandidatura","Změnil stranu"
903,1,"ALENA JANŠOVÁ",50,"OSVČ","Rapotice","Ne","KOMUNISTICKÁ STRANA ČECH A MORAVY","*"
901,3,"PETR SMEKAL",41,"OSVČ","Rapotice","Ano","SDRUŽENÍ PRO RAPOTICE",""
901,1,"PETR SUCHÝ",46,"OSVČ","Rapotice","Ne","SDRUŽENÍ PRO RAPOTICE",""
901,2,"DARJUSZ TOCZKO",41,"OSVČ","Rapotice","Ano","SDRUŽENÍ PRO RAPOTICE",""
902,7,"KAREL KOVAŘÍK",72,"důchodce","Rapotice","Ne","HLAS RAPOTIC",""
902,2,"KAREL KOVAŘÍK",37,"OSVČ","Rapotice","Ne","HLAS RAPOTIC",""
1,8,"Ing. JOSEF TESAŘ",44,"OSVČ","Rapotice","Ne","HLAS RAPOTIC","*"
1,1,"Ing. JIŘÍ BECHNÝ",48,"výrobní ředitel","Rapotice","Ano","HLAS RAPOTIC","*"
902,1,"MILAN LAŠ",56,"skladník","Rapotice","Ano","HLAS RAPOTIC",""
1,6,"MAREK ŘEZANINA",44,"soukromý podnikatel","Rapotice","Ne","",""
903,4,"ALEŠ JEŠINA",31,"strojník","Rapotice","Ne","",""
1,7,"ALEŠ SVOBODA",36,"spec. řízení jak.","Rapotice","Ne","",""
903,2,"PETR HORÁK",38,"OSVČ","Rapotice","Ne","",""
1,2,"Ing. JIŘÍ CHYTKA",46,"technik","Rapotice","Ne","",""
903,5,"JAN CHADIM",23,"státní zaměstnanec","Rapotice","Ne","",""
1,5,"JIŘÍ MATOUŠEK",66,"technik","Rapotice","Ne","",""
901,6,"JAN LIŠKA",45,"technik","Rapotice","Ne","",""
903,6,"SILVIE MIHALISKO",25,"mateřská dovolená","Rapotice","Ne","",""
902,4,"JIŘÍ SCHMEIDLER",30,"státní zaměstnanec","Rapotice","Ne","",""
1,4,"Mgr. JAROSLAVA POLEHLOVÁ",37,"učitelka","Rapotice","Ne","",""
901,5,"Ing. ONDŘEJ HUDEC",33,"statik","Rapotice","Ne","",""
902,3,"MARTINA KOLÁŘOVÁ",25,"studentka","Rapotice","Ne","",""
901,7,"LIBOR MAN",43,"stavbyvedoucí","Rapotice","Ne","",""
903,3,"Ing. ROMAN MIHALISKO",33,"technik kvality","Rapotice","Ne","",""
901,4,"TOMÁŠ VALEŠ",34,"Warranty specialist","Rapotice","Ne","",""
902,6,"STANISLAV PECHA",45,"nezaměstnaný","Rapotice","Ne","",""
1,3,"Mgr. ZDENĚK STRAŠÁK",51,"učitel","Rapotice","Ne","",""
902,5,"ZDENĚK ŘEPA",60,"invalidní důchodce","Rapotice","Ne","",""
