"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Příslušnost","Minulá kandidatura"
901,2,"Ing. JAN KOTALA",60,"technik","Nový Svět","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ I."
901,3,"BRONISLAVA SATKOVÁ",55,"ekonom","Slatina","Ne","BEZPP",""
901,5,"JIŘÍ BINAR",43,"koordinátor","Slatina","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ I."
901,7,"EVA TANEČKOVÁ",44,"čalounice","Slatina","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ I."
901,4,"Bc. BLANKA BARTOŠOVÁ",56,"analytik","Slatina","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ I."
901,6,"Bc. ROMAN ZELINKA",44,"policista","Nový Svět","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ I."
901,8,"JIŘÍ VIDLÁK",52,"technik","Slatina","Ne","BEZPP",""
901,1,"LUDĚK MÍČEK",54,"starosta","Slatina","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ I."
901,9,"Ing. STANISLAV KADULA",58,"podnikatel","Slatina","Ne","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ I."
