"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Minulá kandidatura","Změnil stranu"
801,1,"Mgr. JAN KRAMÁŘ",43,"učitel","Rohozec","Ano","MGR.JAN KRAMÁŘ, NEZÁVISLÝ KANDIDÁT",""
806,1,"TOMÁŠ BÍŽA",30,"hasič","Rohozec","Ne","TOMÁŠ BÍŽA, NEZÁVISLÝ KANDIDÁT",""
814,1,"ALENA ŠINDELÁŘOVÁ",70,"důchodce","Rohozec","Ne","ALENA ŠINDELÁŘOVÁ, NEZÁVISLÝ KANDIDÁT",""
809,1,"Ing. JIŘÍ VANÍČEK",50,"OSVČ","Rohozec","Ano","ING.JIŘÍ VANÍČEK, NEZÁVISLÝ KANDIDÁT",""
813,1,"Ing. VLADIMÍR MICHÁLEK",47,"ředitel muzea","Rohozec","Ano","ING.VLADIMÍR MICHÁLEK, NEZÁVISLÝ KANDIDÁT",""
811,1,"Ing. BŘETISLAV VAŘEČKA",50,"technik","Rohozec","Ano","ING.BŘETISLAV VAŘEČKA, NEZÁVISLÝ KANDIDÁT",""
812,1,"JAROMÍR VOJÁČEK",59,"opravář zemědělských strojů","Rohozec","Ano","JAROMÍR VOJÁČEK, NEZÁVISLÝ KANDIDÁT",""
803,1,"PETR VAŘEČKA",43,"OSVČ","Rohozec","Ano","PETR VAŘEČKA, NEZÁVISLÝ KANDIDÁT",""
810,1,"JANA KRÁLOVÁ",54,"učitelka MŠ","Rohozec","Ano","JANA KRÁLOVÁ, NEZÁVISLÝ KANDIDÁT",""
808,1,"JIŘÍ DASTYCH",44,"řidič","Rohozec","Ne","",""
807,1,"JAROSLAV HAVRÁNEK",38,"technik","Rohozec","Ne","",""
804,1,"PETR HORKÝ",29,"státní zaměstnanec","Rohozec","Ne","",""
816,1,"JOSEF HRDÝ",40,"vedoucí technik","Rohozec","Ne","",""
815,1,"LIBOR HOŠEK",44,"řidič","Rohozec","Ne","",""
805,1,"PAVEL PATOČKA",34,"skladník","Rohozec","Ne","",""
802,1,"VÁCLAV MELŠA",45,"obchodní zástupce,krajský zastupitel","Rohozec","Ne","",""
