"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Minulá kandidatura","Změnil stranu"
166,6,"VLADIMÍR KŘÍŽ",57,"důchodce","Velký Luh","Ano","STRANA ZELENÝCH","*"
143,1,"BOHUSLAV ČECHVALA",55,"truhlář","Velký Luh","Ano","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ OBCE VELKÝ LUH","*"
143,9,"JOSEF SOJKA",67,"důchodce","Velký Luh","Ano","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ OBCE VELKÝ LUH","*"
166,3,"JAN GEMBICKÝ",33,"truhlář","Velký Luh","Ano","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ OBCE VELKÝ LUH","*"
901,1,"PAVEL PEKÁREK",46,"záchranář","Velký Luh","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ OBCE VELKÝ LUH",""
166,7,"ZDEŇKA JURAŠKOVÁ",41,"malířka porcelánu","Velký Luh","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ OBCE VELKÝ LUH","*"
143,3,"MILENA VOŘÍŠKOVÁ",64,"důchodce","Velký Luh","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ OBCE VELKÝ LUH","*"
143,8,"VĚRA KRAUSOVÁ",50,"důchodce","Velký Luh","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ OBCE VELKÝ LUH","*"
166,2,"MICHAELA KRAUSOVÁ",31,"učitelka","Velký Luh","Ano","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ OBCE VELKÝ LUH","*"
166,1,"JIŘINA VRÁBELOVÁ",47,"OSVČ","Velký Luh","Ano","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ OBCE VELKÝ LUH","*"
901,4,"JAROSLAV SULEK",29,"OSVČ","Velký Luh","Ne","",""
166,5,"LENKA CETLOVÁ",21,"administrativní pracovnice","Velký Luh","Ne","",""
143,5,"EVA KŘÍŽOVÁ",26,"dělnice","Velký Luh","Ne","",""
166,4,"NIKOLA JURAŠKOVÁ",22,"masérka","Velký Luh","Ne","",""
143,6,"JAKUB BIKAR",21,"dělník","Velký Luh","Ne","",""
166,9,"JOSEF LUKÁČ",40,"elektrikář","Velký Luh","Ne","",""
901,5,"MILAN BORKOVIČ",36,"skladník","Velký Luh","Ne","",""
143,2,"VÁCLAV KRAUS",31,"řezník","Velký Luh","Ne","",""
166,8,"JIŘÍ JURAŠEK",42,"strojník","Velký Luh","Ne","",""
901,3,"MICHAL KAL'ATA",59,"skladník","Velký Luh","Ne","",""
143,7,"RŮŽENA KALINOVÁ",31,"dělnice","Velký Luh","Ne","",""
143,4,"VLADIMÍRA ŠABÍKOVÁ",33,"dělnice","Velký Luh","Ne","",""
901,2,"MICHALA SULEKOVÁ",31,"policistka","Velký Luh","Ne","",""
