"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Příslušnost","Minulá kandidatura"
901,6,"IVETA VALÍČKOVÁ",44,"administrativní pracovník","Osenice","Ne","BEZPP",""
901,8,"JITKA BOBKOVÁ",37,"zdravotní sestra","Dětenice","Ne","BEZPP",""
901,9,"HANA ŠOLCOVÁ",53,"dělnice","Brodek","Ne","BEZPP",""
901,7,"PETR JINDRÁK",45,"ředitel","Dětenice","Ano","BEZPP","NOVÁ CESTA"
901,1,"Ing. RADOMÍR VALIŠKA",56,"podnikatel","Dětenice","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ OBCE DĚTENICE"
901,5,"LADISLAV PETRTÝL",40,"technický pracovník","Dětenice","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ OBCE DĚTENICE"
901,2,"VLASTIMIL ANTOŠ",48,"technický pracovník","Dětenice","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ OBCE DĚTENICE"
901,3,"ZDENĚK ŠOLC",63,"technický pracovník","Dětenice","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ OBCE DĚTENICE"
901,4,"VLADISLAV VALENTA",41,"svářeč","Brodek","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ OBCE DĚTENICE"
