"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Příslušnost","Minulá kandidatura"
1,5,"Mgr. JIŘÍ MIHOLA Ph.D.",42,"poslanec PČR, vysokoškolský učitel","Brno-sever","Ano","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,13,"JIŘÍ FUČÍK",29,"operátor CNC strojů","Brno-sever","Ne","KDU-ČSL",""
1,20,"ZDENĚK PORUBA",46,"obchodní zástupce","Brno-sever","Ne","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,1,"Mgr. PETR HLADÍK",30,"projektový manažer","Brno-sever","Ano","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,34,"EVA ZEHNALOVÁ",67,"geodetka","Brno-sever","Ne","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,6,"Mgr. MIRIAM KOLÁŘOVÁ",30,"historička umění přednášející na FF MU","Brno-sever","Ne","KDU-ČSL",""
1,31,"MARIE ŠLINZOVÁ",52,"pokladní","Brno-sever","Ne","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,3,"Bc. JAN ŠKRÁŠEK",23,"programátor","Brno-sever","Ne","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,18,"Bc. JAKUB ZEZULA",25,"student filozofie","Brno-sever","Ne","KDU-ČSL",""
1,4,"Ing. JIŘÍ KUKLÍNEK",52,"stavební technik","Brno-sever","Ne","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,23,"Bc. ONDŘEJ MEDEK",25,"středoškolský učitel","Brno-sever","Ne","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,27,"JAROSLAVA KRATOCHVÍLOVÁ",53,"stavební technik","Brno-sever","Ne","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,11,"RNDr. MARTIN KYSELÁK",30,"programátor","Brno-sever","Ne","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,7,"Ing. LUDVÍK DOLEŽAL",70,"stavební inženýr","Brno-sever","Ne","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
