"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Minulá kandidatura","Změnil stranu"
902,6,"HANA MALÁ",47,"pošt.doručovatelka","Zbečno","Ne","NEZÁVISLÍ",""
902,2,"Ing. STANISLAV DRYJÁK",65,"lesní inženýr","Zbečno","Ano","NEZÁVISLÍ",""
902,1,"VLASTA TODOROVOVÁ",55,"ekonom","Újezd n.Zbečnem","Ano","NEZÁVISLÍ",""
902,5,"VĚRA JAROŠOVÁ",55,"prodavačka","Újezd n.Zbečnem","Ano","NEZÁVISLÍ",""
902,4,"JIŘÍ LOSKOT",42,"dělník","Zbečno","Ano","NEZÁVISLÍ",""
901,4,"IVANA MORAVCOVÁ",45,"úřednice","Újezd nad Zbečnem","Ne","VOLBA PRO ZBEČNO A ÚJEZD N./Z",""
901,1,"IVANA MEDOVÁ",37,"živnostnice","Zbečno","Ne","VOLBA PRO ZBEČNO A ÚJEZD N./Z",""
901,9,"VÁCLAV FROLÍK",50,"živnostník","Zbečno","Ne","VOLBA PRO ZBEČNO A ÚJEZD N./Z",""
901,5,"JAN DANIHELKA",50,"živnostník","Zbečno","Ne","",""
902,7,"DANA JAROŠOVÁ",24,"asistentka","Újezd n. Zbečnem","Ne","",""
902,3,"LUCIE PAVLÍČKOVÁ",25,"pedagog","Újezd n.Zbečnem","Ne","",""
901,3,"TAŤÁNA PROŠKOVÁ",56,"ekonomka","Zbečno","Ne","",""
901,2,"JOSEF DOKSANSKÝ",53,"podnikatel","Újezd nad Zbečnem","Ne","",""
901,6,"LUDVÍK MATĚJKA",43,"živnostník","Újezd nad Zbečnem","Ne","",""
902,9,"MIROSLAV SEMENEC",60,"úředník","Újezd n. Zbečnem","Ne","",""
901,8,"MONIKA ČÍŽKOVÁ",34,"úřednice","Újezd nad Zbečnem","Ne","",""
902,8,"MICHAL DVOŘÁK",36,"prodejce","Zbečno","Ne","",""
901,7,"Mgr. RENÁTA EMBERTOVÁ",34,"specialistka GIS","Zbečno","Ne","",""
