"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Minulá kandidatura","Změnil stranu"
1,5,"VLADIMÍR DIVOKÝ",61,"zemědělec","Provodov","Ano","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ",""
1,1,"Ing. MAREK PRACHAŘ",30,"starosta obce","Provodov","Ano","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ",""
901,3,"Bc. VÁCLAV ZIMMERMANN DiS.",26,"student","Provodov","Ne","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","*"
1,2,"Ing. MIROSLAV MIKEL",32,"inženýr kvality","Provodov","Ne","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ",""
1,3,"ALFONS SLOVÁK DiS.",35,"manažer pobočky","Provodov","Ano","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ",""
480,3,"MIROSLAV MIKEL",30,"dispečer","Provodov","Ne","TOP 09",""
480,2,"JAROMÍR MLČOUŠEK",55,"servisní technik","Provodov","Ano","TOP 09",""
480,5,"JIŘÍ BEDNÁŘ",58,"technik","Provodov","Ne","TOP 09",""
480,1,"Ing. IVANA BEDNÁŘOVÁ",51,"OSVČ - finanč. poradenství","Provodov","Ne","TOP 09",""
902,3,"MILAN VÍTEK",41,"OSVČ","Provodov","Ano","SPORTOVCI",""
902,5,"ZDENĚK MIKULÁŠEK",36,"vedoucí výroby","Provodov","Ne","SPORTOVCI",""
901,2,"Ing. JAN TALAŠ",25,"krajinný inženýr","Provodov","Ne","SPORTOVCI",""
902,8,"Ing. PETR ŠTĚPÁNÍK",30,"technik","Provodov","Ne","SPORTOVCI",""
902,4,"RADOMÍR TALAŠ",55,"elektrikář","Provodov","Ne","SPORTOVCI",""
902,2,"Ing. PAVEL KOŠÁREK",51,"obchodní zástupce","Provodov","Ano","SPORTOVCI",""
902,1,"JOSEF RAK",49,"invalidní důchodce","Provodov","Ano","SPORTOVCI",""
902,6,"RICHARD VÍTEK",38,"elektrikář","Provodov","Ne","SPORTOVCI",""
902,7,"PETR ZÁSMĚTA",56,"pokrývač","Provodov","Ne","ZA ZVELEBENÍ OBCE PROVODOV",""
1,6,"LUBOMÍR NEDBÁLEK",60,"dělník","Provodov","Ne","ZA ZVELEBENÍ OBCE PROVODOV","*"
480,8,"Bc. ALENA MLČOUŠKOVÁ",25,"porodní asistentka","Provodov","Ne","",""
1,7,"ALŽBĚTA ZATLOUKALOVÁ Dip. um.",32,"učitelka ZUŠ Morava","Provodov","Ne","",""
480,9,"Bc. BARBORA BEDNÁŘOVÁ",25,"účetní","Provodov","Ne","",""
1,9,"Mgr. JANA ČERNÁ",50,"ředitelka ZŠ a MŠ","Provodov","Ne","",""
901,6,"EVA LONDÝN",33,"administrativní pracovnice","Provodov","Ne","",""
1,8,"VLADIMÍRA STROUHALOVÁ",37,"učitelka MŠ","Provodov","Ne","",""
901,5,"MATĚJ KOŠÁREK",23,"strojař","Provodov","Ne","",""
902,9,"MILAN MALANÍK",52,"zedník","Provodov","Ne","",""
901,1,"Mgr. LUKÁŠ KOSTRUCH",26,"právník","Provodov","Ne","",""
1,4,"PETRA DRUŽBOVÁ",36,"grafička","Provodov","Ne","",""
480,6,"JINDŘIŠKA ŠIMROVÁ",64,"účetní v důchodu","Provodov","Ne","",""
901,9,"Ing. arch. RADEK TALAŠ",26,"architekt","Provodov","Ne","",""
901,4,"Ing. OLDŘICH PAVLŮSEK",54,"manažer","Provodov","Ne","",""
480,7,"Ing. MIROSLAV SZEPESI",57,"soukromý podnikatel","Provodov","Ne","",""
901,7,"ONDŘEJ PLÁŠEK",24,"elektrikář","Provodov","Ne","",""
480,4,"Mgr. ZUZANA BORÁŇOVÁ",27,"advokátní koncipientka","Bzenec","Ne","",""
901,8,"Bc. ŠTĚPÁN ČERNÝ",23,"student","Provodov","Ne","",""
