"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Příslušnost","Minulá kandidatura"
1,4,"TOMÁŠ SOVA",36,"IT specialista","Velim","Ne","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
7,3,"JOZEF BANYA",34,"stavební technik","Velim","Ne","ČSSD",""
47,6,"DANA KRULOVÁ",59,"zdravotní sestra","Velim","Ne","KSČM","KOMUNISTICKÁ STRANA ČECH A MORAVY"
47,9,"JIŘÍ KRULA",61,"mistr výroby","Velim","Ne","KSČM","KOMUNISTICKÁ STRANA ČECH A MORAVY"
53,9,"PAVEL KOLÁŘ",53,"podnikatel","Velim","Ne","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,8,"Ing. JAN BÍNA",48,"ředitel obchodní společnosti","Velim","Ne","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,11,"JOSEF JEŘÁBEK",70,"důchodce","Velim","Ne","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,3,"JIŘÍ MIŇOVSKÝ",65,"důchodce","Velim","Ne","ODS",""
53,1,"JOSEF KAFTAN",50,"ředitel","Velim","Ano","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,2,"ANDREA BARTOŠOVÁ",42,"učitelka","Vítězov","Ano","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
7,11,"JOSEF SLABÝ",69,"důchodce","Velim","Ne","BEZPP","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ"
901,11,"Mgr. HANA KAPRÁLKOVÁ",50,"učitelka","Velim","Ne","BEZPP","VELIMÁCI"
7,10,"Mgr. JAROSLAV ČEŠPIVA",68,"důchodce","Velim","Ano","BEZPP","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ"
53,7,"IVA KAFTANOVÁ",26,"asistentka","Velim","Ne","BEZPP",""
53,4,"ANDREA HRONOVÁ",35,"administrativní pracovník","Vítězov","Ne","BEZPP",""
1,6,"JIŘÍ NEDBAL",29,"živnostník","Velim","Ne","BEZPP",""
1,11,"Mgr. DANA FRANCOVÁ",40,"středoškolská učitelka","Velim","Ne","BEZPP",""
53,6,"JOSEF JANOUŠEK",29,"finanční poradce","Velim","Ne","BEZPP",""
47,1,"JIŘÍ ŠMÍD",55,"karosář","Velim","Ne","BEZPP",""
1,7,"Ing. MILOSLAV MACHÁČEK",55,"specialista pro radioprovoz","Velim","Ne","BEZPP","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
47,2,"JAROSLAV DEJMEK",39,"malíř","Velim","Ne","BEZPP",""
901,3,"PAVEL KASAL",46,"podnikatel","Velim","Ne","BEZPP","VELIMÁCI"
47,5,"JIŘÍ SKALA",47,"dělník","Velim","Ne","BEZPP","KOMUNISTICKÁ STRANA ČECH A MORAVY"
1,2,"PETR UHLÍŘ",28,"IT specialista","Velim","Ne","BEZPP","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
47,10,"LADISLAV BŘEČKA",64,"důchodce","Vítězov","Ne","BEZPP",""
1,9,"Mgr. JITKA TĚMÍNOVÁ",38,"středoškolská učitelka","Velim","Ne","BEZPP",""
7,9,"JAROSLAV NOUZOVSKÝ",49,"montér","Velim","Ne","BEZPP","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ"
901,8,"RADEK ČEPELÁK",33,"podnikatel","Velim","Ne","BEZPP",""
47,4,"JAN JANICSKOVICS",48,"truhlář","Velim","Ne","BEZPP",""
47,8,"JAROSLAV VEDRAL",63,"důchodce","Velim","Ne","BEZPP","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ"
7,4,"Mgr. MARTIN KYNCL",33,"učitel","Velim","Ano","BEZPP","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ"
47,11,"JOSEF SAHULKA",74,"důchodce","Velim","Ne","BEZPP","KOMUNISTICKÁ STRANA ČECH A MORAVY"
7,2,"LUDĚK KOSTKA",49,"generální ředitel","Velim","Ano","BEZPP","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ"
1,5,"JOSEF HRABAL",57,"technik","Velim","Ne","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
901,4,"MILOŠ KAFTAN",48,"podnikatel","Velim","Ne","BEZPP","VELIMÁCI"
901,6,"Ing. BLANKA MUKAŘOVSKÁ",47,"odborná referentka","Velim","Ne","BEZPP","VELIMÁCI"
901,7,"LIBOR SIXTA",36,"výrobní ředitel","Velim","Ne","BEZPP","VELIMÁCI"
7,1,"JOSEF SEIFERT",53,"starosta","Velim","Ano","BEZPP","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ"
1,8,"Ing. MIROSLAV KLOBASA",49,"vedoucí oddělení IT","Velim","Ne","BEZPP","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
901,2,"Mgr. PETR KARPETA",51,"ředitel školy","Velim","Ano","BEZPP","VELIMÁCI"
7,6,"ŽANETA SVOBODOVÁ DiS.",29,"ředitelka MŠ","Velim","Ne","BEZPP",""
901,5,"MONIKA SLABÁ",46,"administrativně hospodářská pracovnice","Velim","Ano","BEZPP","VELIMÁCI"
47,7,"VLADIMÍR ŠOUREK",55,"lakýrník","Velim","Ne","BEZPP",""
1,10,"VOJTĚCH ČERNÝ",51,"živnostník","Velim","Ne","BEZPP",""
47,3,"FRANTIŠEK DVOŘÁK",48,"dělník","Velim","Ne","BEZPP",""
1,3,"MARTIN ŠKOPEK",44,"likvidátor pojišťovny","Velim","Ne","BEZPP","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
901,9,"PETR FUNDA",23,"elektrokonstruktér","Velim","Ne","BEZPP",""
7,8,"PETR HRABAL",54,"podnikatel","Velim","Ne","BEZPP","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ"
901,1,"PETR KUBELKA",45,"vodohospodář","Velim","Ano","BEZPP","VELIMÁCI"
7,5,"STANISLAV KOTEK",67,"podnikatel","Velim","Ano","BEZPP","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ"
901,10,"Ing. RADKA KREJČOVÁ",44,"podnikatelka","Velim","Ne","BEZPP","VELIMÁCI"
7,7,"ROBERT BUNC",36,"technik","Vítězov","Ne","BEZPP",""
53,5,"ZUZANA BÍNOVÁ",22,"studentka","Velim","Ne","BEZPP",""
53,10,"ZDENĚK CHOTĚBOR",31,"stavební technik","Velim","Ne","BEZPP",""
1,1,"JUDr. TOMÁŠ TĚMÍN Ph.D.",38,"advokát","Velim","Ano","BEZPP","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
