"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Příslušnost","Minulá kandidatura"
1,15,"JAROSLAV TOMÁŠ",50,"soukromý zemědělec","Studenec","Ne","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,4,"Ing. VÁCLAV URBAN",43,"finanční poradce","Studenec","Ano","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,5,"ŠTĚPÁN KUŘÍK DiS.",23,"zdravotnický záchranář","Studenec","Ne","KDU-ČSL",""
1,2,"Ing. PAVEL JIRAN",57,"ředitel firmy","Studenec","Ne","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,10,"KAREL VANCL",63,"důchodce","Studenec","Ano","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
902,15,"FILIP MAREK",46,"trenér","Studenec","Ne","BEZPP",""
902,12,"Ing. ADÉLA TAUCHMANOVÁ",26,"pomocný normovač","Studenec","Ne","BEZPP",""
1,8,"Ing. JAN VANCL",31,"technický manažer","Studenec","Ne","BEZPP","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
902,3,"Ing. JOSEF BOURA",46,"místostarosta obce","Studenec","Ano","BEZPP","NEZÁVISLÍ KANDIDÁTI STUDENEC"
902,6,"PaedDr. DANA SYNKOVÁ",51,"zástupkyně ředitele","Studenec","Ano","BEZPP","NEZÁVISLÍ KANDIDÁTI STUDENEC"
901,14,"JIŘÍ TAUCHMAN",74,"důchodce","Studenec","Ne","BEZPP",""
901,9,"BLANKA KOROTVIČKOVÁ",54,"zdravotní sestra","Zálesní Lhota","Ne","BEZPP",""
1,12,"Ing. STANISLAV HORÁČEK",31,"výzkumný pracovník","Studenec","Ne","BEZPP","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
902,5,"ANTONÍN PACHOLÍK",55,"živnostník","Zálesní Lhota","Ano","BEZPP","NEZÁVISLÍ KANDIDÁTI STUDENEC"
902,1,"Bc. JIŘÍ ULVR",42,"starosta obce","Studenec","Ano","BEZPP","NEZÁVISLÍ KANDIDÁTI STUDENEC"
1,9,"JAN MEDLÍK DiS.",34,"osoba samostatně výdělečně činná","Studenec","Ne","BEZPP",""
901,1,"Bc. LUBOMÍR BROŽ",29,"policista","Studenec","Ne","BEZPP",""
902,13,"JOSEF ŠEDIVÝ",33,"živnostník","Studenec","Ne","BEZPP","NEZÁVISLÍ KANDIDÁTI STUDENEC"
901,7,"HANA ŠVECOVÁ",59,"kurátorka muzea","Zálesní Lhota","Ne","BEZPP",""
902,11,"LUKÁŠ VANCL",20,"živnostník","Studenec","Ne","BEZPP",""
901,3,"Bc. MARCELA DITTRICHOVÁ DiS.",44,"speciální pedagog","Zálesní Lhota","Ne","BEZPP",""
1,14,"MUDr. MARIE MÜHLOVÁ",63,"zubní lékařka","Studenec","Ne","BEZPP",""
902,8,"Ing. JAN HÁK",35,"technik kvality","Studenec","Ne","BEZPP",""
901,8,"JAROSLAV HÁK",36,"technik","Studenec","Ne","BEZPP",""
901,4,"MARTIN KUŘÍK",41,"prodejce","Studenec","Ne","BEZPP",""
1,11,"Ing. MARTIN ŠIMÁČEK",50,"projektant","Studenec","Ne","BEZPP",""
902,14,"JIŘÍ KUDR",51,"živnostník","Studenec","Ne","BEZPP","NEZÁVISLÍ KANDIDÁTI STUDENEC"
1,1,"Bc. PETR MEČÍŘ",30,"referent státní správy","Studenec","Ne","BEZPP","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,6,"Bc. et Bc. MARIE VACKOVÁ",31,"učitelka mateřské školy","Studenec","Ne","BEZPP",""
901,2,"JOSEF CHLÁDEK",57,"obsluha BČS","Rovnáčov","Ne","BEZPP",""
1,13,"Ing. FRANTIŠEK TAUCHMAN",31,"statik","Studenec","Ne","BEZPP",""
901,13,"MUDr. VLADIMÍRA KARÁSKOVÁ",64,"všeobecný praktický lékař","Studenec","Ne","BEZPP",""
901,10,"OTTO CERMAN",60,"OSVČ - prodejce","Studenec","Ne","BEZPP",""
901,12,"STANISLAVA TŮMOVÁ",35,"mateřská dovolená","Studenec","Ne","BEZPP",""
902,9,"Ing. JAKUB TAUCHMAN",26,"technolog","Studenec","Ne","BEZPP",""
901,15,"LADISLAV MÁSLO",60,"energetik","Rovnáčov","Ne","BEZPP",""
902,2,"MARKÉTA KADAVÁ",41,"zdravotní sestra","Zálesní Lhota","Ano","BEZPP","NEZÁVISLÍ KANDIDÁTI STUDENEC"
901,5,"PETR HOFMAN",37,"OSVČ - pokrývač","Zálesní Lhota","Ne","BEZPP",""
902,7,"Mgr. LUKÁŠ KALENSKÝ",44,"státní zaměstnanec","Studenec","Ano","BEZPP","NEZÁVISLÍ KANDIDÁTI STUDENEC"
902,10,"TOMÁŠ CHRTEK",27,"státní zaměstnanec","Studenec","Ne","BEZPP",""
901,11,"JAROSLAV KOČÁREK",34,"dělník","Studenec","Ne","BEZPP",""
1,7,"Ing. PAVEL MEČÍŘ",38,"technický ředitel","Studenec","Ano","BEZPP","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,3,"VERONIKA VANCLOVÁ",34,"uklízečka","Studenec","Ne","BEZPP",""
902,4,"VÁCLAV VANCL",46,"technický poradce","Studenec","Ano","BEZPP","NEZÁVISLÍ KANDIDÁTI STUDENEC"
901,6,"Bc. ZDENĚK HANZLÍK",24,"konstruktér","Studenec","Ne","BEZPP",""
