"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Minulá kandidatura","Změnil stranu"
1,6,"FRANTIŠEK SELOUCKÝ",60,"automechanik","Nechvalín","Ne","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ",""
1,7,"MILOSLAV HORŇÁK",45,"řidič","Nechvalín","Ne","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ",""
1,1,"JOSEF CHROMÝ",61,"invalidní důchodce","Nechvalín","Ne","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ",""
7,6,"LIBUŠE HENZLOVÁ",50,"dělnice","Nechvalín","Ne","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ",""
7,1,"JAROMÍR BRANČÍK",56,"starosta obce","Nechvalín","Ano","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ",""
7,2,"RADEK ČERVÍK",50,"automechanik","Nechvalín","Ano","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ",""
7,4,"MILAN GAŽÁK",38,"řidič","Nechvalín","Ano","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ",""
7,3,"Ing. FRANTIŠEK PINTERA",71,"důchodce","Nechvalín","Ano","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ",""
7,7,"BOHUMILA BRANČÍKOVÁ",44,"prodavačka-vedoucí","Nechvalín","Ne","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ",""
7,9,"PETR KONEČNÝ",43,"seřizovač","Nechvalín","Ne","",""
1,5,"JOSEF LUŽA",64,"řidič","Nechvalín","Ne","",""
1,2,"MILAN NĚMEC",44,"konstruktér-technolog","Nechvalín","Ne","",""
1,3,"Mgr. LIBOR LEV",43,"pracovník Policie České republiky","Nechvalín","Ne","",""
1,4,"RADOVAN KEJÍK",44,"manažer prodeje","Nechvalín","Ne","",""
7,5,"VLADIMÍR SELOUCKÝ",32,"prodavač-elektrotechnik","Nechvalín","Ne","",""
7,8,"PAVEL JETELINA",45,"zámečník","Nechvalín","Ne","",""
