"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Minulá kandidatura","Změnil stranu"
902,1,"Mgr. ALENA RYPLOVÁ",49,"státní zaměstnanec","Horská Kvilda","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ SDRUŽENÍ PRO ZACHOVÁNÍ HORSKÉ KVILDY",""
901,8,"VLASTIMIL KRÁL",50,"OSVČ","Horská Kvilda","Ano","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ SDRUŽENÍ PRO ZACHOVÁNÍ HORSKÉ KVILDY",""
901,5,"VLADIMÍR RYPL",49,"lesník","Horská Kvilda","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ SDRUŽENÍ PRO ZACHOVÁNÍ HORSKÉ KVILDY",""
901,6,"MARTINA KRÁLOVÁ",50,"OSVČ","Horská Kvilda","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ SDRUŽENÍ PRO ZACHOVÁNÍ HORSKÉ KVILDY",""
901,2,"JAROMÍR CHVAL",53,"OSVČ","Horská Kvilda","Ano","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ SDRUŽENÍ PRO ZACHOVÁNÍ HORSKÉ KVILDY",""
902,5,"JAROSLAVA ŠROUBKOVÁ",69,"důchodce","Horská Kvilda","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ HORSKÁ KVILDA",""
901,3,"JIŘÍ SLABA",66,"OSVČ","Horská Kvilda","Ano","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ HORSKÁ KVILDA",""
901,1,"SIMONA HNÁTKOVÁ",48,"učitelka","Horská Kvilda","Ano","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ HORSKÁ KVILDA",""
902,6,"GERTRUDA HONESOVÁ",76,"důchodce","Horská Kvilda","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ HORSKÁ KVILDA",""
902,4,"ANNA MATĚJŮ",65,"OSVČ","Horská Kvilda","Ne","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ HORSKÁ KVILDA",""
902,2,"HELENA KREUZIGEROVÁ",49,"chem. laborant","Horská Kvilda","Ne","",""
901,4,"INGRID HONESOVÁ",41,"OSVČ","Horská Kvilda","Ne","",""
902,7,"JIŘINA HONESOVÁ",61,"OSVČ","Horská Kvilda","Ne","",""
902,3,"Ing. PETRA MATĚJŮ",42,"státní zaměstnanec","Horská Kvilda","Ne","",""
901,7,"PAVEL BURŠÍK",51,"lesník","Horská Kvilda","Ne","",""
