"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Minulá kandidatura","Změnil stranu"
812,1,"Ing. MIROSLAV DUŠEK",61,"OSVČ","Chelčice","Ano","""STAROSTOVÉ A NEZÁVISLÍ""","*"
811,1,"FRANTIŠEK KRUMP",63,"soukromě hospodařící rolník","Chelčice","Ano","""STAROSTOVÉ A NEZÁVISLÍ""","*"
803,1,"VÁCLAV TŮMA",35,"OSVČ","Chelčice","Ne","""STAROSTOVÉ A NEZÁVISLÍ""","*"
808,1,"Ing. VĚNCESLAVA JAKUBCOVÁ",50,"hospodářka MŠ","Chelčice","Ano","TOP 09","*"
809,1,"JAN BALOUŠEK",37,"automechanik","Chelčice","Ano","TOP 09","*"
806,1,"Bc. PETR NOVÁK",25,"student","Chelčice","Ano","TOP 09","*"
801,1,"JIŘÍ IRAL",52,"starosta obce","Chelčice","Ano","TOP 09","*"
813,1,"MICHAL TROBL",37,"OSVČ","Chelčice","Ne","TOP 09","*"
802,1,"JAKUB SLAVÍK",32,"OSVČ","Chelčice","Ne","",""
804,1,"Mgr. IVA BUKAČOVÁ",32,"učitelka","Chelčice","Ne","",""
805,1,"Ing. JINDŘICH TUREK",28,"projektant","Chelčice","Ne","",""
810,1,"JINDŘICH TUREK",51,"technický pracovník","Chelčice","Ne","",""
807,1,"Ing. ZDENĚK ŠPAČEK",30,"investiční technik","Chelčice","Ne","",""
814,1,"PETR KORTUS",26,"programátor CNC","Chelčice","Ne","",""
