"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Příslušnost","Minulá kandidatura"
1,21,"JUDr. VÁCLAVA VÝBORNÁ",64,"právník v důchodu","Heřmanův Městec","Ano","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,2,"Mgr. MAREK VÝBORNÝ",38,"ředitel gymnázia","Heřmanův Městec","Ano","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,1,"Ing. ZDENKA SEDLÁČKOVÁ",60,"místostarostka","Heřmanův Městec","Ano","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,19,"MILAN BULDRA",59,"pracovník technické skupiny","Heřmanův Městec","Ne","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
1,14,"Bc. HELENA POLANSKÁ",37,"pracovník sociálně-právní ochrany dětí","Heřmanův Městec","Ne","KDU-ČSL","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
364,1,"ONDŘEJ SIGMUND",59,"restaurátor","Heřmanův Městec","Ne","SZ","ONDŘEJ SIGMUND"
7,3,"MIROSLAV VOSTROVSKÝ",40,"podnikatel","Heřmanův Městec","Ne","ČSSD","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ"
7,2,"FRANTIŠEK SCHWARZER",45,"invalidní důchodce","Heřmanův Městec","Ne","ČSSD","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ"
7,1,"MARTIN STEKLÝ",44,"podnikatel","Heřmanův Městec","Ne","ČSSD","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ"
7,10,"LENKA KOŠNAROVÁ",22,"mateřská dovolená","Heřmanův Městec","Ne","ČSSD",""
53,11,"Ing. JAN VOTOUPAL",56,"technik","Heřmanův Městec","Ne","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,1,"Ing. ALEŠ JIROUTEK",55,"starosta města","Heřmanův Městec","Ano","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,21,"Ing. STANISLAV POSKOČIL",67,"důchodce","Chotěnice","Ne","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,19,"JAN PAKOŠ",51,"technik neziskového sektoru","Heřmanův Městec","Ne","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,18,"JIŘÍ NOVOTNÝ",26,"elektromontér II - ČEZ","Heřmanův Městec","Ne","ODS",""
53,3,"Mgr. STANISLAV MRÁZ",59,"ředitel základní školy","Heřmanův Městec","Ano","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,6,"Mgr. ALENA STRÁNSKÁ",48,"učitelka základní školy","Heřmanův Městec","Ano","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,9,"VÁCLAV DOSTÁL",67,"důchodce","Heřmanův Městec","Ano","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
7,5,"IVETA POSPÍŠILOVÁ",36,"prodavačka","Heřmanův Městec","Ne","BEZPP",""
53,16,"ALENA NOVOTNÁ",58,"státní zaměstnankyně","Konopáč","Ne","BEZPP",""
364,21,"IVO MÍSAŘ",63,"důchodce","Heřmanův Městec","Ne","BEZPP",""
1,10,"DAVID STARÝ",41,"řidič, provozní","Heřmanův Městec","Ne","BEZPP","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
364,20,"EMERICH MALÁT",38,"manažer provozu","Konopáč","Ne","BEZPP",""
364,4,"Mgr. IVAN DRAMLITSCH",43,"novinář","Heřmanův Městec","Ne","BEZPP","ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ"
7,4,"Ing. DANIELA PEŘINOVÁ",69,"důchodkyně","Heřmanův Městec","Ne","BEZPP","KOMUNISTICKÁ STRANA ČECH A MORAVY"
53,17,"MILAN TRPKOŠ",51,"OSVČ, velitel SHD","Heřmanův Městec","Ne","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
364,16,"JOSEF NAŇKA",58,"OSVČ","Heřmanův Městec","Ne","BEZPP",""
901,5,"JAN BAREŠ",35,"jednatel firmy EKOPANELY CZ s.r.o.","Heřmanův Městec","Ano","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,20,"MUDr. ALENA JIROUTKOVÁ",53,"praktická lékařka","Heřmanův Městec","Ne","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
364,9,"HANA VACKOVÁ",60,"státní zaměstnanec KFÚ","Heřmanův Městec","Ne","BEZPP",""
364,5,"DANA NAŇKOVÁ",54,"OSVČ","Heřmanův Městec","Ne","BEZPP",""
1,9,"JANA PLAVCOVÁ",53,"učitelka MŠ","Heřmanův Městec","Ne","BEZPP",""
901,11,"DAVID DVOŘÁK",40,"majitel firmy Dvořák - střechy s.r.o.","Heřmanův Městec","Ne","BEZPP",""
901,18,"Bc. IVA KOTOROVÁ",40,"vychovatelka školní družiny","Heřmanův Městec","Ne","BEZPP",""
901,20,"DAVID PROKOP",40,"obchodně technický konzultant","Heřmanův Městec","Ne","BEZPP",""
