"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Minulá kandidatura","Změnil stranu"
47,4,"JIŘÍ KŘENEK",58,"dělník","Židlochovice","Ne","KOMUNISTICKÁ STRANA ČECH A MORAVY",""
47,8,"JAROSLAV OLŠER",65,"dělník","Židlochovice","Ne","KOMUNISTICKÁ STRANA ČECH A MORAVY",""
47,6,"PAVEL BRAVENEC",63,"inv.důchodce","Židlochovice","Ne","KOMUNISTICKÁ STRANA ČECH A MORAVY",""
47,1,"Ing. PETR MAŠA",33,"technik","Židlochovice","Ano","KOMUNISTICKÁ STRANA ČECH A MORAVY",""
47,3,"JAN ŠOTNAR",74,"důchodce","Židlochovice","Ano","KOMUNISTICKÁ STRANA ČECH A MORAVY",""
47,10,"STANISLAV STANĚK",55,"dělník","Židlochovice","Ne","KOMUNISTICKÁ STRANA ČECH A MORAVY",""
47,7,"MILOSLAVA SCHILLEROVÁ",60,"dělnice","Židlochovice","Ne","KOMUNISTICKÁ STRANA ČECH A MORAVY",""
47,12,"ŠTĚPÁN SCHILLER",71,"důchodce","Židlochovice","Ne","KOMUNISTICKÁ STRANA ČECH A MORAVY",""
47,5,"DANA MAŠOVÁ",53,"inv.důchodce","Židlochovice","Ne","KOMUNISTICKÁ STRANA ČECH A MORAVY",""
47,15,"LUDMILA BARTLOVÁ",71,"důchodkyně","Židlochovice","Ne","KOMUNISTICKÁ STRANA ČECH A MORAVY",""
47,2,"RŮŽENA STRAŠÁKOVÁ",67,"důchodce","Židlochovice","Ano","KOMUNISTICKÁ STRANA ČECH A MORAVY",""
53,7,"RADOVAN MOTLÍČEK",44,"jednatel společnosti","Židlochovice","Ne","OBČANSKÁ DEMOKRATICKÁ STRANA",""
901,2,"Ing. PAVEL GRYGAR",52,"podnikatel","Židlochovice","Ne","OBČANSKÁ DEMOKRATICKÁ STRANA","*"
53,4,"Prof. MUDr. PETER WENDSCHE CSc.",69,"lékař (chirurg-traumatolog)","Židlochovice","Ano","OBČANSKÁ DEMOKRATICKÁ STRANA",""
53,2,"Ing. JANA KRÁLOVÁ",49,"ředitelka základní školy","Židlochovice","Ano","OBČANSKÁ DEMOKRATICKÁ STRANA",""
53,14,"MILAN ŠEBEK",50,"velitel městské policie","Židlochovice","Ne","OBČANSKÁ DEMOKRATICKÁ STRANA",""
53,13,"Mgr. TOMÁŠ DRATVA",42,"středoškolský učitel","Židlochovice","Ne","OBČANSKÁ DEMOKRATICKÁ STRANA",""
53,15,"KARIN REJŽKOVÁ",51,"účetní","Židlochovice","Ne","OBČANSKÁ DEMOKRATICKÁ STRANA",""
721,5,"MVDr. PAVEL FOREJTEK CSc.",63,"veterinární lékař","Židlochovice","Ano","OBČANSKÁ DEMOKRATICKÁ STRANA","*"
53,9,"Ing. TOMÁŠ KACETL",25,"personalista","Židlochovice","Ne","OBČANSKÁ DEMOKRATICKÁ STRANA",""
53,11,"FRANTIŠEK ŠVAŘÍČEK",72,"podnikatel","Židlochovice","Ne","OBČANSKÁ DEMOKRATICKÁ STRANA",""
53,1,"VLASTIMIL HELMA",52,"starosta města","Židlochovice","Ano","OBČANSKÁ DEMOKRATICKÁ STRANA",""
53,12,"Ing. JOSEF KRATOCHVÍL",52,"technicko hospodářský pracovník","Židlochovice","Ano","OBČANSKÁ DEMOKRATICKÁ STRANA",""
721,2,"Mgr. TOMÁŠ ŠENKYŘÍK",42,"místostarosta","Židlochovice","Ano","TOP 09",""
721,10,"Mgr. et Mgr. MARTIN HLADKÝ Ph.D.",35,"středoškolský pedagog","Židlochovice","Ne","TOP 09",""
721,1,"Ing. JAN VITULA",45,"místostarosta","Židlochovice","Ano","TOP 09",""
721,9,"Mgr. LUKÁŠ GRYC",34,"pedagog, sociální pracovník","Židlochovice","Ne","TOP 09",""
768,4,"ANTONÍN HOUDEK",49,"živnostník","Židlochovice","Ne","TOP 09","*"
721,8,"Ing. BARBORA JAKUBCOVÁ",45,"referentka státního pozemkového ústavu","Židlochovice","Ne","TOP 09",""
721,7,"Mgr. DAVID KOPEČEK",30,"pedagog na ZŠ","Židlochovice","Ne","TOP 09",""
721,3,"Bc. LENKA BRÁZDOVÁ",49,"vedoucí pečovatelské služby","Židlochovice","Ano","TOP 09",""
53,6,"PhDr. JITKA SÝKOROVÁ",56,"vysokoškolská učitelka","Židlochovice","Ano","TOP 09","*"
721,4,"doc. Mgr. PETR FRANCÁN",41,"vysokoškolský pedagog","Židlochovice","Ano","TOP 09",""
768,2,"PETR PRIEGER",45,"country manager","Židlochovice","Ne","TOP 09","*"
768,1,"Ing. PETR CHOCHOLÁČ",50,"jednatel","Židlochovice","Ano","TOP 09","*"
721,6,"Ing. IVANA FLAJŠINGEROVÁ Ph.D.",40,"vedoucí laboratoře","Židlochovice","Ne","TOP 09",""
901,11,"JAROMÍR SAPÍK",64,"důchodce","Židlochovice","Ne","",""
47,9,"ANTONIE URBÁNKOVÁ",65,"důchodkyně","Židlochovice","Ne","",""
768,12,"MUDr. IRENA VYZULOVÁ",48,"VŠ pedagog","Židlochovice","Ne","",""
901,9,"IVETA JANÁČKOVÁ",39,"podnikatelka","Židlochovice","Ne","",""
53,3,"JUDr. IVO REMUNDA",52,"právník","Židlochovice","Ne","",""
768,5,"Ing. BRONISLAV SVOBODA",48,"ekonom","Židlochovice","Ne","",""
901,14,"LADISLAV BATĚK",42,"IT manažer","Židlochovice","Ne","",""
901,13,"DAGMAR NOS PANČÍKOVÁ",38,"podnikatelka","Židlochovice","Ne","",""
721,11,"Mgr. DAGMAR NOVÁKOVÁ",57,"středoškolský pedagog","Židlochovice","Ne","",""
768,11,"MARCELA TEINEROVÁ",19,"studentka","Židlochovice","Ne","",""
721,12,"Ing. JIŘÍ ZAPADLO",31,"lesní inženýr-projektant","Židlochovice","Ne","",""
768,7,"Ing. JANA SKLENSKÁ",38,"asistentka","Židlochovice","Ne","",""
768,6,"Ing. JOSEF PAVLAS",67,"ekonomický poradce","Židlochovice","Ne","",""
53,8,"STANISLAV BŘEZINA",60,"majitel autoservisu","Židlochovice","Ne","",""
768,8,"MARTIN URBANEC",38,"řidič","Židlochovice","Ne","",""
721,15,"LENKA BETÁŠOVÁ",48,"referent infocentra","Židlochovice","Ne","",""
721,14,"Mgr. LENKA OTÝPKOVÁ",43,"farmaceut","Židlochovice","Ne","",""
768,10,"PETR KŘIVKA",35,"obchodní zástupce","Židlochovice","Ne","",""
901,6,"YVONNE KONEČNÁ",49,"redaktorka","Židlochovice","Ne","",""
768,14,"LIBOR KAFKA",56,"živnostník","Židlochovice","Ne","",""
47,13,"Doc. PhDr. KAREL KRÁL CSc.",70,"důchodce","Židlochovice","Ne","",""
53,10,"Ing. LUKÁŠ WITALA Ph.D.",33,"stavební inženýr","Židlochovice","Ne","",""
768,3,"MARTIN JANÍČEK",37,"jednatel","Židlochovice","Ne","",""
901,1,"Ing. VLADIMÍR HLAVÁČ",61,"ředitel investic","Židlochovice","Ne","",""
53,5,"Ing. PETR SVOBODA",36,"příslušník Hasičského záchran. sboru ČR","Židlochovice","Ne","",""
901,8,"MIROSLAV KLVAŇ",43,"nákupčí","Židlochovice","Ne","",""
901,7,"VLADIMÍR KONEČNÝ",50,"technik","Židlochovice","Ne","",""
901,10,"MAREK ŠVEHLÍK",40,"podnikatel","Židlochovice","Ne","",""
47,14,"ZDENKA SVOBODOVÁ",68,"důchodkyně","Židlochovice","Ne","",""
901,15,"Ing. VÍT BETÁŠ",44,"lesní inženýr","Židlochovice","Ne","",""
721,13,"ZDENĚK SCHAFFER",50,"OSVČ","Židlochovice","Ne","",""
768,13,"VLADIMÍR RŮŽIČKA",37,"živnostník","Židlochovice","Ne","",""
768,9,"RADEK ZATOČIL",50,"zahradník","Židlochovice","Ne","",""
47,11,"VÁCLAV KANTOR",64,"důchodce","Židlochovice","Ne","",""
901,5,"Bc. VLADIMÍR DUDÁK DiS.",31,"personalista","Židlochovice","Ne","",""
901,12,"VLASTIMIL LEVORA",59,"technik","Židlochovice","Ne","",""
901,3,"ZBYNĚK NEČAS",29,"interní auditor","Židlochovice","Ne","",""
901,4,"PhDr. et Mgr. STANISLAV RUBÁŠ",35,"učitel","Židlochovice","Ne","",""
768,15,"Bc. VOJTĚCH KŮGEL",24,"student","Židlochovice","Ne","",""
