"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Příslušnost","Minulá kandidatura"
7,17,"ADAM CSERESZNYE",39,"řidič","Rotava","Ne","ČSSD",""
7,8,"JARMILA ČERNÁ",57,"montážní dělnice","Rotava","Ne","ČSSD","""ZAHRÁDKÁŘI ROTAVA"""
7,2,"Bc. MICHAL HOLAN",23,"student VŠ","Rotava","Ne","ČSSD",""
7,3,"SOŇA TATAROVÁ",39,"snovařka","Rotava","Ne","ČSSD",""
7,13,"PETR BADA",32,"řidič","Rotava","Ne","ČSSD",""
7,16,"NADĚŽDA PARIHUZIČOVÁ",41,"montážní dělnice","Rotava","Ne","ČSSD",""
7,7,"Mgr. PAVEL FRANĚK",59,"učitel na SŠ","Rotava","Ne","ČSSD","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
7,4,"MARTIN TVARŮŽEK",44,"obsluha ČOV","Rotava","Ne","ČSSD",""
7,6,"MICHAL HILKO",31,"živnostník","Rotava","Ne","ČSSD",""
7,14,"ALENA KRÁSNÁ",27,"prodavačka","Rotava","Ne","ČSSD",""
7,12,"JAKUB SLÁMA",30,"elektrikář","Rotava","Ne","ČSSD",""
7,1,"MICHAL ČERVENKA",26,"manažer zakázek","Rotava","Ne","ČSSD",""
47,11,"DUŠAN PÁCHNIK",71,"slévač - důchodce","Rotava","Ne","KSČM","KOMUNISTICKÁ STRANA ČECH A MORAVY"
47,17,"LUDVÍK STEHLÍK",65,"důchodce","Rotava","Ne","KSČM",""
47,6,"JOSEF SVOBODA",66,"důchodce","Rotava","Ne","KSČM","KOMUNISTICKÁ STRANA ČECH A MORAVY"
47,14,"ROBERT OLACH",30,"operátor melanžování","Rotava","Ne","KSČM",""
47,15,"BĚLA PÁCHNIKOVÁ",68,"důchodkyně","Rotava","Ne","KSČM",""
47,3,"MATĚJ CSERESZNYE",64,"dělník - důchodce","Rotava","Ano","KSČM","KOMUNISTICKÁ STRANA ČECH A MORAVY"
47,1,"Mgr. JIŘÍ HOLAN",71,"učitel - důchodce","Rotava","Ano","KSČM","KOMUNISTICKÁ STRANA ČECH A MORAVY"
47,4,"PETR HAJŽMAN",61,"strojník - důchodce","Rotava","Ne","KSČM","KOMUNISTICKÁ STRANA ČECH A MORAVY"
47,7,"MOJMÍR KUKLÍNEK",64,"živnostník","Rotava","Ne","KSČM",""
53,1,"Ing. JAN SLÍVA",42,"technik","Rotava","Ano","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
768,13,"DANA DVOŘÁKOVÁ",54,"personalistka","Rotava","Ne","BEZPP",""
53,15,"JARMILA FIALOVÁ",51,"zdravotní sestra","Rotava","Ne","BEZPP",""
901,2,"JIŘÍ VONDRA",55,"revírník","Rotava","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
768,14,"Ing. FRANTIŠEK CHUDJAK",49,"technik","Rotava","Ne","BEZPP","""ZAHRÁDKÁŘI ROTAVA"""
47,2,"Mgr. JAROSLAVA ČERVENKOVÁ",51,"ředitelka MŠ","Rotava","Ano","BEZPP","KOMUNISTICKÁ STRANA ČECH A MORAVY"
47,16,"DOMINIKA BADOVÁ",40,"inv. důchodkyně","Rotava","Ne","BEZPP",""
901,14,"MARIE KROCOVÁ",73,"důchodce","Rotava","Ne","BEZPP",""
53,9,"FRANTIŠEK BERAN",58,"klempíř, pokrývač","Rotava","Ne","BEZPP",""
768,12,"BOHUSLAV DLOUHÝ",44,"zámečník","Rotava","Ne","BEZPP",""
768,15,"EMIL KORČÁK",69,"důchodce","Rotava","Ne","BEZPP",""
53,8,"LADISLAV KOCÁBEK",53,"obsluha ČOV, řidič","Rotava","Ne","BEZPP",""
53,12,"IVAN ŘÍHA",49,"stavební dělník","Rotava","Ne","BEZPP",""
53,3,"Mgr. LENKA ERNSTBERGEROVÁ",45,"učitelka","Rotava","Ne","BEZPP",""
7,9,"BLANKA LEGEZOVÁ",28,"vedoucí pošty","Rotava","Ne","BEZPP",""
901,9,"JAROSLAVA VOLFOVÁ",65,"důchodce","Rotava","Ne","BEZPP",""
53,5,"JAKUB POTOČNÝ",28,"svářeč kovů","Rotava","Ne","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
901,16,"PAVEL ŽEMBA",32,"OSVČ","Rotava","Ne","BEZPP",""
901,12,"LIBUŠE PITOŇÁKOVÁ",60,"OSVČ","Rotava","Ano","BEZPP","""ZAHRÁDKÁŘI ROTAVA"""
768,7,"DAGMAR DANKOVÁ",57,"úřednice","Rotava","Ne","BEZPP",""
7,5,"MARTIN REZEK",30,"hasič","Rotava","Ne","BEZPP",""
901,1,"IVA KALÁTOVÁ",51,"OSVČ","Rotava","Ne","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
53,10,"LUKÁŠ PACEK",20,"student","Rotava","Ne","BEZPP",""
53,11,"JARMILA DULUDISOVÁ",28,"úřednice","Rotava","Ne","BEZPP",""
53,7,"MIROSLAV PACEK",52,"horizontkář","Rotava","Ne","BEZPP",""
901,10,"Mgr. LADA ZAVÁZALOVÁ",39,"učitelka","Rotava","Ano","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
901,11,"Ing. JAN HAVELKA",65,"vedoucí pracovník SUAS","Rotava","Ne","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
768,9,"FRANTIŠEK PACOVSKÝ",73,"důchodce","Rotava","Ne","BEZPP","""ZAHRÁDKÁŘI ROTAVA"""
901,3,"Mgr. JAROSLAVA ŠŮSOVÁ",53,"učitelka","Rotava","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ"
768,3,"Ing. Mgr. MIROSLAV ŠŮS",53,"podnikatel","Rotava","Ne","BEZPP",""
