"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Příslušnost","Minulá kandidatura"
7,1,"Ing. JAN VOSECKÝ",41,"obchodní a IT manažer","Přerov nad Labem","Ne","ČSSD",""
166,8,"BOŽENA KAMENICKÁ",53,"OSVČ","Přerov nad Labem","Ne","BEZPP",""
902,9,"MAREK HOFHANZL",44,"živnostník","Přerov nad Labem","Ne","BEZPP",""
166,7,"Mgr. EVA MŰLLEROVÁ",55,"učitelka","Přerov nad Labem","Ne","BEZPP",""
7,10,"ALICE FÁRKOVÁ",34,"reklamační dispečerka","Přerov nad Labem","Ne","BEZPP",""
7,5,"ANTONÍN STRNAD",76,"pracující důchodce","Přerov nad Labem","Ne","BEZPP",""
901,2,"Ing. JAROSLAV KRATOCHVÍL",38,"soukromý zemědělec","Přerov nad Labem","Ne","BEZPP",""
901,5,"TOMÁŠ PETERA",29,"IT administrátor - programátor","Přerov nad Labem","Ne","BEZPP",""
901,3,"RNDr. DARINA KOCSISOVÁ Ph.D.",42,"manažerka - matematik","Přerov nad Labem","Ano","BEZPP","PŘEROV NAD LABEM 2010"
7,2,"JIŘÍ BENEŠ",40,"OSVČ","Přerov nad Labem","Ne","BEZPP",""
166,10,"PhDr. HANA VAŠÁTOVÁ",54,"učitelka","Přerov nad Labem","Ne","BEZPP",""
901,4,"Ing. EVA MOHAUPTOVÁ",39,"kouč - lektor","Přerov nad Labem","Ne","BEZPP",""
166,6,"JAN KOLENSKÝ",24,"finanční poradce","Přerov nad Labem","Ne","BEZPP",""
901,10,"JIŘÍ BÍLEK",38,"technik","Přerov nad Labem","Ne","BEZPP",""
902,11,"HANA DOVALILOVÁ",41,"provozní","Přerov nad Labem","Ne","BEZPP",""
901,11,"LUBOŠ SVOBODA",56,"zedník","Přerov nad Labem","Ne","BEZPP",""
902,1,"Ing. IRENA GREGÁRKOVÁ",46,"manažerka","Přerov nad Labem","Ano","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA (ODS)"
166,4,"JAKUB KADEŘÁVEK",27,"tesař","Přerov nad Labem","Ne","BEZPP",""
166,2,"MIROSLAV KADEŘÁVEK",33,"kuchař","Přerov nad Labem","Ne","BEZPP",""
902,4,"JANA BROŽOVÁ",33,"krejčová","Přerov nad Labem","Ne","BEZPP",""
902,8,"DANUŠE SKUHRAVÁ",60,"učitelka MŠ","Přerov nad Labem","Ne","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA (ODS)"
901,1,"Mgr. ALENA BAKOŠOVÁ",43,"inženýr kvality","Přerov nad Labem","Ne","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA (ODS)"
7,8,"MAREK ŘEHÁK",37,"portýr - Letiště Praha","Přerov nad Labem","Ne","BEZPP",""
166,11,"ANTONÍN NOVÁČEK",56,"zámečník","Přerov nad Labem","Ne","BEZPP",""
901,8,"MIROSLAV KOLENSKÝ",38,"IT administrátor - programátor","Přerov nad Labem","Ne","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA (ODS)"
901,6,"Ing. IVAN ZAJÍČEK",56,"stavbyvedoucí","Přerov nad Labem","Ne","BEZPP","KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ"
7,3,"Mgr. KAROLÍNA SALAČOVÁ",38,"učitelka","Přerov nad Labem","Ne","BEZPP",""
7,9,"KATEŘINA HOREJCOVÁ",37,"OSVČ","Přerov nad Labem","Ne","BEZPP",""
7,6,"PETR VOJÁČEK",42,"státní zaměstnanec","Přerov nad Labem","Ne","BEZPP",""
166,5,"Bc. LENKA KODEŠOVÁ",50,"vrchní sestra","Přerov nad Labem","Ne","BEZPP",""
902,5,"Mgr. YVETA HRUŠKOVÁ",51,"ředitelka ZŠ a MŠ","Přerov nad Labem","Ne","BEZPP",""
902,2,"Ing. VÁCLAV ČERVINKA",30,"zahradník","Přerov nad Labem","Ne","BEZPP",""
7,4,"LUBOŠ BALÍK",48,"property manažer","Přerov nad Labem","Ne","BEZPP",""
166,1,"PETR BAUMRUK",63,"technik","Přerov nad Labem","Ano","BEZPP","PŘEROV NAD LABEM 2010"
902,6,"Ing. JIŘÍ STARÝ",70,"strojní inženýr","Přerov nad Labem","Ne","BEZPP",""
902,3,"Ing. LUDĚK DVOŘÁK CSc.",68,"ekonom - auditor","Přerov nad Labem","Ano","BEZPP","PŘEROV NAD LABEM 2010"
7,11,"RUDOLF RŮŽIČKA",26,"manažer kvality","Přerov nad Labem","Ne","BEZPP",""
7,7,"Bc. PETRA VOSECKÁ",34,"personální manažer","Přerov nad Labem","Ne","BEZPP",""
902,7,"JOSEF ŠENKÝŘ",43,"stavitel","Přerov nad Labem","Ne","BEZPP",""
901,7,"Mgr. VRATISLAVA TOMÁŠKOVÁ",38,"pracovník neziskového sektoru - učitelka","Přerov nad Labem","Ne","BEZPP",""
166,3,"Ing. ROMAN TRBUŠEK",36,"ekonomický ředitel","Přerov nad Labem","Ne","BEZPP",""
901,9,"TOMÁŠ PTÁČEK",40,"kontrolor kvality","Přerov nad Labem","Ne","BEZPP",""
166,9,"ZDENĚK NEUHÄUSEL",49,"zámečník","Přerov nad Labem","Ne","BEZPP",""
902,10,"Ing. SOŇA ROVNANÍKOVÁ",37,"ředitelka","Přerov nad Labem","Ne","BEZPP",""
