"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Příslušnost","Minulá kandidatura"
7,8,"Mgr. HANA PEROUTKOVÁ",28,"učitelka","Chýnov","Ne","ČSSD",""
7,9,"BOŘIVOJ PROKOP",54,"skladník","Chýnov","Ne","ČSSD",""
7,15,"Mgr. FRANTIŠEK NOVOTNÝ",66,"důchodce","Chýnov","Ne","ČSSD",""
7,13,"JIŘÍ KŘÍŽ",66,"důchodce","Chýnov","Ne","ČSSD",""
7,1,"MIROSLAV PEROUTKA",57,"policista v. v.","Chýnov","Ne","ČSSD",""
7,2,"JINDŘICH BUBENÍK",64,"důchodce","Chýnov","Ne","KSČM","KOMUNISTICKÁ STRANA ČECH A MORAVY"
7,4,"PETR LOVÍŠEK",35,"řidič","Kloužovice","Ne","KSČM",""
7,14,"STANISLAV BENDA",67,"důchodce","Velmovice","Ne","KSČM","KOMUNISTICKÁ STRANA ČECH A MORAVY"
7,11,"FRANTIŠEK GAŠPÁREK",57,"zedník","Chýnov","Ne","KSČM","KOMUNISTICKÁ STRANA ČECH A MORAVY"
53,10,"VÁCLAV JELÍNEK",71,"důchodce","Chýnov","Ano","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,3,"Mgr. JOSEF MUSIL",55,"ředitel školského zařízení","Chýnov","Ano","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,2,"JAN PISTULKA",58,"místostarosta","Chýnov","Ano","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,7,"FRANTIŠEK VÁCHA",53,"vedoucí organizace","Chýnov","Ano","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,13,"Mgr. DAGMAR EYBERTOVÁ",63,"učitelka","Chýnov","Ne","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,1,"Mgr. PAVEL EYBERT",65,"starosta, senátor","Chýnov","Ano","ODS","OBČANSKÁ DEMOKRATICKÁ STRANA"
901,7,"ALEŠ MAKOVEC",29,"soukromý zemědělec","Kloužovice","Ne","BEZPP",""
166,11,"JAROSLAV MLÁDEK",58,"OSVČ","Chýnov","Ne","BEZPP","OBČANSKÁ DEMOKRATICKÁ STRANA"
53,6,"ELIŠKA BASÍKOVÁ",50,"OSVČ","Chýnov","Ne","BEZPP",""
53,5,"Bc. EVŽEN ZADRAŽIL",41,"technik","Chýnov","Ne","BEZPP",""
166,8,"JAROSLAVA STRAKATÁ",45,"OSVČ","Chýnov","Ne","BEZPP",""
7,6,"FRANTIŠEK KRAUS",64,"důchodce","Chýnov","Ne","BEZPP","KOMUNISTICKÁ STRANA ČECH A MORAVY"
901,3,"Ing. ANDREA FRAITOVÁ",38,"personalistka","Kloužovice","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ Z KLOUŽOVIC, DOBRONIC, VELMOVIC A ZÁHOSTIC"
901,1,"Ing. JAN ŠMEJKAL",29,"technolog","Dobronice u Chýnova","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ Z KLOUŽOVIC, DOBRONIC, VELMOVIC A ZÁHOSTIC"
901,4,"ALENA BOUŠKOVÁ",45,"účetní","Dobronice u Chýnova","Ne","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ Z KLOUŽOVIC, DOBRONIC, VELMOVIC A ZÁHOSTIC"
166,13,"JOSEF BUŘIČ",60,"OSVČ","Chýnov","Ne","BEZPP","""STAROSTOVÉ A NEZÁVISLÍ"""
53,8,"JAROSLAV BARTÁČEK",33,"kontrolor","Chýnov","Ne","BEZPP",""
53,14,"TOMÁŠ STRNAD",27,"technik","Chýnov","Ne","BEZPP",""
7,3,"JOSEF MAKOVEC",66,"důchodce","Chýnov","Ne","BEZPP",""
901,2,"Ing. LIBOR KUCHAŘ",45,"manažer","Velmovice","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ Z KLOUŽOVIC, DOBRONIC, VELMOVIC A ZÁHOSTIC"
7,7,"JAN PTÁK",47,"hasič","Chýnov","Ne","BEZPP",""
901,9,"LIBOR STEJSKAL",40,"expedient","Kloužovice","Ne","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ Z KLOUŽOVIC, DOBRONIC, VELMOVIC A ZÁHOSTIC"
166,5,"Ing. DAGMAR LAZÁRKOVÁ",61,"důchodce","Chýnov","Ne","BEZPP",""
7,5,"Ing. JIŘÍ VANÍČEK",49,"manažer","Chýnov","Ne","BEZPP",""
901,6,"JAROSLAV HÁJEK",35,"ředitel","Dobronice u Chýnova","Ne","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ Z KLOUŽOVIC, DOBRONIC, VELMOVIC A ZÁHOSTIC"
166,14,"HANA PETRŮ",56,"vedoucí školní jídelny","Záhostice","Ne","BEZPP","""STAROSTOVÉ A NEZÁVISLÍ"""
901,8,"Ing. JIŘÍ KOSTROUN",35,"systémový nákupčí","Kloužovice","Ne","BEZPP",""
901,13,"MIROSLAV VÁCHA",37,"skladník","Kloužovice","Ne","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ Z KLOUŽOVIC, DOBRONIC, VELMOVIC A ZÁHOSTIC"
166,15,"VERONIKA KUBIČKOVÁ",23,"studentka","Chýnov","Ne","BEZPP",""
166,2,"Ing. OLGA SVOBODOVÁ",47,"ekonom","Chýnov","Ne","BEZPP","""STAROSTOVÉ A NEZÁVISLÍ"""
166,10,"Ing. VLADIMÍRA HESOVÁ",38,"ekonom","Chýnov","Ne","BEZPP",""
166,1,"Mgr. MILAN RADA",43,"učitel","Chýnov","Ano","BEZPP","""STAROSTOVÉ A NEZÁVISLÍ"""
