"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Příslušnost","Minulá kandidatura"
901,2,"LIBUŠE PÍCHOVÁ",56,"zootechnička","Doňov","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ DOŇOV"
901,1,"LUBOŠ JIRSA",41,"státní úředník","Doňov","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ DOŇOV"
901,3,"LADISLAV ŠŤASTNÝ",50,"opravář","Doňov","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ DOŇOV"
901,4,"JAN KOSTEČKA",44,"zemědělský dělník","Doňov","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ DOŇOV"
901,7,"KAREL LEPŠA",66,"důchodce","Doňov","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ DOŇOV"
901,8,"NADĚŽDA KODYMOVÁ",31,"na mateřské dovolené","Doňov","Ne","BEZPP",""
901,5,"PETR KODYM",34,"automechanik","Doňov","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ DOŇOV"
901,6,"LILIANA RICHTEROVÁ",41,"administrativní pracovnice","Doňov","Ano","BEZPP","SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ DOŇOV"
