"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Minulá kandidatura","Změnil stranu"
903,2,"PETR NOVÁK",31,"živnostník","Zápy","Ne","VOLBA PRO ZÁPY 2010",""
901,4,"JOSEF JALOVEC",62,"vstupní kontrolor","Zápy","Ano","VOLBA PRO ZÁPY 2010",""
902,3,"VĚRA MENDLOVÁ",35,"laborantka","Zápy","Ne","VOLBA PRO ZÁPY 2010",""
901,1,"VLADIMÍR VLČEK",53,"starosta","Zápy","Ano","SDRUŽENÍ PRO KLIDNÉ ZÁPY",""
901,2,"Ing. FRANTIŠEK MAŠEK",55,"manager","Zápy","Ano","SDRUŽENÍ PRO KLIDNÉ ZÁPY",""
902,1,"ZDENĚK SRB",41,"vedoucí provozu","Zápy","Ano","SDRUŽENÍ PRO KLIDNÉ ZÁPY",""
901,3,"ZDENĚK HRDLIČKA",51,"skladník","Zápy","Ano","SDRUŽENÍ PRO KLIDNÉ ZÁPY",""
901,7,"TOMÁŠ MUCHA",64,"podnikatel","Zápy","Ne","SDRUŽENÍ PRO KLIDNÉ ZÁPY",""
903,1,"MICHAL BURDA",62,"výtvarník","Zápy","Ano","ZÁPY PLUS",""
903,7,"MVDr. VÁCLAV KOHOUT",75,"veterinář","Zápy","Ne","ZÁPY PLUS",""
903,4,"Ing. JIŘÍ ČEČRDLE Ph.D.",44,"vedoucí vědecký pracovník","Zápy","Ne","ZÁPY PLUS",""
903,3,"Ing. RADOSLAV SVĚCENÝ",42,"konstruktér","Zápy","Ne","ZÁPY PLUS",""
901,6,"JAROLÍM MONÍK",64,"důchodce","Zápy","Ne","",""
901,9,"ANTONÍN ČURDA",51,"letecký mechanik","Zápy","Ne","",""
901,5,"JANA KŘÍŽOVÁ",34,"učitelka MŠ","Zápy","Ne","",""
901,8,"JANA NOVÁKOVÁ",62,"důchodkyně","Zápy","Ne","",""
903,5,"Bc. KATEŘINA BÁNOVÁ",23,"studentka","Zápy","Ne","",""
902,6,"JITKA NOVÁKOVÁ",55,"zdravotní sestra","Zápy","Ne","",""
902,2,"JIŘÍ MARTINEK",40,"truhlář, podnikatel","Zápy","Ne","",""
902,8,"MILAN REPÁŇ",48,"elektrikář","Zápy","Ne","",""
902,7,"PETRA DVOŘÁKOVÁ",37,"obchodní manažerka","Zápy","Ne","",""
903,6,"TOMÁŠ TATAR",41,"řidič - skladník","Zápy","Ne","",""
902,5,"Mgr. PETRA ŠTEMBERKOVÁ",25,"právník","Zápy","Ne","",""
902,9,"Mgr. OLGA LESŇÁKOVÁ",43,"bankovní poradce","Zápy","Ne","",""
902,4,"ZDEŇKA MARTINICOVÁ",61,"důchodkyně","Zápy","Ne","",""
